CRM ID,CRM Group,CRM Type,Matrix,Mineralisation Style,Analysis Method,Element,Unit,Certified Value,Sort Grade,1SD,95% CI Low,95% CI High,Status
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Dysprosium, Dy",ppm,18.9,18.9,2.2,17.3,20.6,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Erbium, Er",ppm,11.6,11.6,1.4,10.6,12.7,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Europium, Eu",ppm,3.7,3.7,0.3,3.5,3.9,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Iron, Fe",wt.%,4.51,45100,0.31,4.33,4.69,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Gadolinium, Gd",ppm,20.3,20.3,2.1,18.7,21.9,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Holmium, Ho",ppm,3.66,3.66,0.37,3.38,3.94,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Potassium, K",ppm,3.8,3.8,0.24,3.65,3.94,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Lanthanum, La",ppm,259,259,18,249,268,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Lutetium, Lu",ppm,1.56,1.56,0.16,1.45,1.67,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Magnesium, Mg",wt.%,0.81,8100,0.05,0.78,0.84,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Manganese, Mn",ppm,532,532,36,511,553,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Molybdenum, Mo",ppm,22.2,22.2,1.9,21.2,23.3,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Neodymium, Nd",ppm,152,152,11,144,160,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Nickel, Ni",ppm,10.3,10.3,0.8,9.8,10.7,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Phosphorus, P",ppm,487,487,13,480,493,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Lead, Pb",ppm,13.2,13.2,2.5,11.8,14.6,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Praseodymium, Pr",ppm,47.1,47.1,3.9,44,50.2,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Samarium, Sm",ppm,23.8,23.8,1.8,22.4,25.2,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Terbium, Tb",ppm,3.25,3.25,0.43,2.96,3.54,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Thorium, Th",ppm,49.2,49.2,4.9,46.4,51.9,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Titanium, Ti",wt.%,0.218,2180,0.02,0.205,0.23,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Thulium, Tm",ppm,1.61,1.61,0.18,1.48,1.74,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Uranium, U",ppm,130,130,12,123,136,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Vanadium, V",ppm,34.7,34.7,3.6,32.6,36.8,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Yttrium, Y",ppm,96,95.5,5.1,93,99,Current
OREAS 100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Ytterbium, Yb",ppm,11.4,11.4,1.4,10.4,12.3,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Uranium, U",ppm,422,422,29,402,441,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Thorium, Th",ppm,36.6,36.6,2.5,35,38.3,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Lanthanum, La",ppm,816,816,62,789,843,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Cerium, Ce",ppm,1396,1396,131,1311,1481,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Cobalt, Co",ppm,48.8,48.8,4.4,46.3,51.2,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Copper, Cu",ppm,434,434,35,407,462,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Dysprosium, Dy",ppm,33.3,33.3,2.3,32,34.7,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Erbium, Er",ppm,19.5,19.5,1.6,18.6,20.5,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Europium, Eu",ppm,8.06,8.06,0.72,7.65,8.47,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Iron, Fe",wt.%,11.06,110600,0.33,11.03,11.1,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Gadolinium, Gd",ppm,43.4,43.4,5.9,39.9,46.9,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Holmium, Ho",ppm,6.46,6.46,0.52,6.34,6.59,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Potassium, K",wt.%,2.34,23400,0.13,2.26,2.42,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Lutetium, Lu",ppm,2.66,2.66,0.19,2.52,2.8,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Magnesium, Mg",wt.%,1.23,12300,0.05,1.2,1.25,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Manganese, Mn",ppm,964,964,46,949,978,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Molybdenum, Mo",ppm,21.9,21.9,1.5,21.2,22.5,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Neodymium, Nd",ppm,403,403,40,379,427,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Phosphorus, P",ppm,1268,1268,126,1201,1335,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Praseodymium, Pr",ppm,134,134,12,127,141,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Samarium, Sm",ppm,48.8,48.8,3.8,47.8,49.9,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Terbium, Tb",ppm,5.92,5.92,0.71,5.42,6.42,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Titanium, Ti",wt.%,0.395,3950,0.021,0.386,0.404,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Thulium, Tm",ppm,2.9,2.9,0.22,2.75,3.06,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Vanadium, V",ppm,83,83,10,77,89,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Yttrium, Y",ppm,183,183,8,178,187,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Ytterbium, Yb",ppm,17.5,17.5,1.7,16.8,18.3,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Cerium, Ce",ppm,1390,1390,110,1304,1476,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Cobalt, Co",ppm,46.9,46.9,2.7,45.4,48.4,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Copper, Cu",ppm,418,418,31,407,430,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Dysprosium, Dy",ppm,28.2,28.2,3.6,25.2,31.3,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Erbium, Er",ppm,16.2,16.2,2,14.5,17.9,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Europium, Eu",ppm,8.4,8.4,0.6,7.9,8.9,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Iron, Fe",wt.%,10.7,107000,0.8,10.2,11.3,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Gadolinium, Gd",ppm,42,42,6,37,47,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Holmium, Ho",ppm,5.2,5.2,0.5,4.8,5.7,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Potassium, K",wt.%,2.2,22000,0.15,2.12,2.28,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Lanthanum, La",ppm,807,807,68,767,846,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Lutetium, Lu",ppm,1.99,1.99,0.23,1.83,2.15,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Magnesium, Mg",wt.%,1.2,12000,0.07,1.16,1.24,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Manganese, Mn",ppm,977,977,15,948,1006,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Molybdenum, Mo",ppm,20.4,20.4,0.6,19.5,21.2,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Neodymium, Nd",ppm,397,397,11,374,420,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Nickel, Ni",ppm,8.14,8.14,0.28,7.21,9.07,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Phosphorus, P",ppm,1159,1159,20,1114,1204,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Lead, Pb",ppm,23,23,1,20,26,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Praseodymium, Pr",ppm,131,131,4,122,141,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Samarium, Sm",ppm,49,49,2,46,53,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Terbium, Tb",ppm,5.3,5.3,0.2,4.7,6,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Thorium, Th",ppm,35.1,35.1,1.1,33.2,37.1,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Titanium, Ti",wt.%,0.353,3530,0.006,0.333,0.373,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Thulium, Tm",ppm,2.12,2.12,0.05,1.96,2.27,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Uranium, U",ppm,410,410,8,396,425,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Vanadium, V",ppm,77,77,2,73,80,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Yttrium, Y",ppm,135,135,3,127,143,Current
OREAS 101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Ytterbium, Yb",ppm,14.7,14.7,0.5,13.4,15.9,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Uranium, U",ppm,396,396,29,378,415,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Thorium, Th",ppm,37.1,37.1,2.5,35.6,38.6,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Lanthanum, La",ppm,789,789,66,748,830,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Cerium, Ce",ppm,1331,1331,135,1247,1416,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Cobalt, Co",ppm,47,47,5,45,50,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Copper, Cu",ppm,416,416,27,395,437,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Dysprosium, Dy",ppm,32.1,32.1,1.5,31.2,32.9,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Erbium, Er",ppm,18.7,18.7,1.2,18,19.4,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Europium, Eu",ppm,7.77,7.77,0.49,7.48,8.05,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Iron, Fe",wt.%,10.8,108000,0.3,10.6,10.9,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Gadolinium, Gd",ppm,41,41,6,37,44,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Holmium, Ho",ppm,6.34,6.34,0.49,6.05,6.63,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Potassium, K",wt.%,2.42,24200,0.19,2.3,2.54,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Lutetium, Lu",ppm,2.58,2.58,0.21,2.44,2.72,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Magnesium, Mg",wt.%,1.23,12300,0.05,1.2,1.27,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Manganese, Mn",ppm,931,931,37,908,954,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Molybdenum, Mo",ppm,20.9,20.9,1.4,20,21.8,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Neodymium, Nd",ppm,378,378,35,357,399,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Phosphorus, P",ppm,1197,1197,88,1137,1257,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Praseodymium, Pr",ppm,127,127,9,121,132,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Samarium, Sm",ppm,48,48,3,46,49,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Terbium, Tb",ppm,5.37,5.37,0.34,5.16,5.59,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Titanium, Ti",wt.%,0.386,3860,0.008,0.381,0.391,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Thulium, Tm",ppm,2.66,2.66,0.14,2.59,2.74,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Vanadium, V",ppm,80,80,10,73,86,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Yttrium, Y",ppm,178,178,8,174,183,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,Borate / Peroxide Fusion ICP,"Ytterbium, Yb",ppm,17.6,17.6,1.6,16.6,18.6,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Cerium, Ce",ppm,1325,1325,89,1259,1390,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Cobalt, Co",ppm,45,45,3,43,47,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Copper, Cu",ppm,412,412,20,400,423,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Dysprosium, Dy",ppm,27,27,2,25,29,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Erbium, Er",ppm,15,15,1,14,17,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Europium, Eu",ppm,8.1,8.1,0.6,7.7,8.5,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Iron, Fe",wt.%,10.7,107000,0.5,10.4,11,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Gadolinium, Gd",ppm,40,40,5,36,44,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Holmium, Ho",ppm,5.2,5.2,0.4,4.8,5.5,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Potassium, K",wt.%,2.36,23600,0.15,2.27,2.45,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Lanthanum, La",ppm,754,754,50,725,783,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Lutetium, Lu",ppm,1.96,1.96,0.21,1.81,2.11,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Magnesium, Mg",wt.%,1.23,12300,0.05,1.2,1.26,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Manganese, Mn",ppm,927,927,62,892,963,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Molybdenum, Mo",ppm,20.1,20.1,1.2,19.4,20.8,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Neodymium, Nd",ppm,388,388,27,368,408,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Nickel, Ni",ppm,8.2,8.2,1.5,7.3,9.1,Current
OREAS 101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,4-Acid Digestion,"Phosphorus, P",ppm,1118,1118,26,1103,1132,Current
